Date,NAV
02-01-1991,30.889999
03-01-1991,30.459999
04-01-1991,30.389999
07-01-1991,29.870001
08-01-1991,29.82
09-01-1991,29.5
10-01-1991,29.780001
11-01-1991,29.85
14-01-1991,29.6
15-01-1991,29.709999
16-01-1991,29.950001
17-01-1991,31.07
18-01-1991,31.459999
21-01-1991,31.360001
22-01-1991,31.1
23-01-1991,31.280001
24-01-1991,31.709999
25-01-1991,31.84
28-01-1991,31.84
29-01-1991,31.83
30-01-1991,32.310001
31-01-1991,32.599998
01-02-1991,32.52
04-02-1991,33.040001
05-02-1991,33.330002
06-02-1991,33.98
07-02-1991,33.84
08-02-1991,34.110001
11-02-1991,35
12-02-1991,34.720001
13-02-1991,35.049999
14-02-1991,34.610001
15-02-1991,35.07
19-02-1991,35.099998
20-02-1991,34.700001
21-02-1991,34.68
22-02-1991,34.759998
25-02-1991,34.919998
26-02-1991,34.509998
27-02-1991,34.970001
28-02-1991,34.919998
01-03-1991,35.240002
04-03-1991,35.150002
05-03-1991,35.849998
06-03-1991,35.799999
07-03-1991,35.779999
08-03-1991,35.700001
11-03-1991,35.509998
12-03-1991,35.240002
13-03-1991,35.669998
14-03-1991,35.57
15-03-1991,35.580002
18-03-1991,35.439999
19-03-1991,34.919998
20-03-1991,35.040001
21-03-1991,34.91
22-03-1991,35.02
25-03-1991,35.240002
26-03-1991,35.860001
27-03-1991,35.52
28-03-1991,35.509998
01-04-1991,35.150002
02-04-1991,35.919998
03-04-1991,35.869999
04-04-1991,35.970001
05-04-1991,35.549999
08-04-1991,35.860001
09-04-1991,35.380001
10-04-1991,35.34
11-04-1991,35.77
12-04-1991,36.029999
15-04-1991,36.110001
16-04-1991,36.720001
17-04-1991,36.990002
18-04-1991,36.799999
19-04-1991,36.400002
22-04-1991,36.09
23-04-1991,36.16
24-04-1991,36.259998
25-04-1991,35.93
26-04-1991,35.91
29-04-1991,35.419998
30-04-1991,35.580002
01-05-1991,36.049999
02-05-1991,36.07
03-05-1991,36.099998
06-05-1991,36.060001
07-05-1991,35.82
08-05-1991,35.93
09-05-1991,36.400002
10-05-1991,35.689999
13-05-1991,35.799999
14-05-1991,35.310001
15-05-1991,35.029999
16-05-1991,35.029999
17-05-1991,35.41
20-05-1991,35.400002
21-05-1991,35.700001
22-05-1991,35.779999
23-05-1991,35.669998
24-05-1991,35.919998
28-05-1991,36.349998
29-05-1991,36.43
30-05-1991,36.830002
31-05-1991,37.099998
03-06-1991,37.099998
04-06-1991,36.919998
05-06-1991,36.669998
06-06-1991,36.540001
07-06-1991,36.139999
10-06-1991,36.07
11-06-1991,36.310001
12-06-1991,35.889999
13-06-1991,35.990002
14-06-1991,36.43
17-06-1991,36.220001
18-06-1991,36.080002
19-06-1991,35.75
20-06-1991,35.779999
21-06-1991,36
24-06-1991,35.369999
25-06-1991,35.34
26-06-1991,35.439999
27-06-1991,35.52
28-06-1991,35.23
01-07-1991,35.869999
02-07-1991,35.830002
03-07-1991,35.450001
05-07-1991,35.52
08-07-1991,35.889999
09-07-1991,35.720001
10-07-1991,35.68
11-07-1991,35.799999
12-07-1991,36.110001
15-07-1991,36.32
16-07-1991,36.240002
17-07-1991,36.209999
18-07-1991,36.610001
19-07-1991,36.5
22-07-1991,36.380001
23-07-1991,36.049999
24-07-1991,35.970001
25-07-1991,36.200001
26-07-1991,36.189999
29-07-1991,36.41
30-07-1991,36.75
31-07-1991,36.860001
01-08-1991,36.799999
02-08-1991,36.810001
05-08-1991,36.630001
06-08-1991,37.169998
07-08-1991,37.18
08-08-1991,37.07
09-08-1991,36.869999
12-08-1991,36.959999
13-08-1991,37.110001
14-08-1991,37.150002
15-08-1991,37.099998
16-08-1991,36.75
19-08-1991,35.889999
20-08-1991,36.169998
21-08-1991,37.23
22-08-1991,37.299999
23-08-1991,37.57
26-08-1991,37.549999
27-08-1991,37.48
28-08-1991,37.830002
29-08-1991,37.810001
30-08-1991,37.720001
03-09-1991,37.419998
04-09-1991,37.220001
05-09-1991,37.130001
06-09-1991,37.130001
09-09-1991,37.09
10-09-1991,36.73
11-09-1991,36.77
12-09-1991,36.990002
13-09-1991,36.630001
16-09-1991,36.849998
17-09-1991,36.830002
18-09-1991,36.959999
19-09-1991,37.029999
20-09-1991,37.07
23-09-1991,36.880001
24-09-1991,37.060001
25-09-1991,36.990002
26-09-1991,36.77
27-09-1991,36.709999
30-09-1991,36.91
01-10-1991,37.029999
02-10-1991,36.950001
03-10-1991,36.59
04-10-1991,36.299999
07-10-1991,36.139999
08-10-1991,36.240002
09-10-1991,35.880001
10-10-1991,36.240002
11-10-1991,36.330002
14-10-1991,36.799999
15-10-1991,37.23
16-10-1991,37.41
17-10-1991,37.32
18-10-1991,37.32
21-10-1991,37.150002
22-10-1991,36.939999
23-10-1991,36.950001
24-10-1991,36.669998
25-10-1991,36.599998
28-10-1991,37.110001
29-10-1991,37.299999
30-10-1991,37.439999
31-10-1991,37.400002
01-11-1991,37.290001
04-11-1991,37.220001
05-11-1991,37.09
06-11-1991,37.220001
07-11-1991,37.580002
08-11-1991,37.52
11-11-1991,37.549999
12-11-1991,37.889999
13-11-1991,37.959999
14-11-1991,37.939999
15-11-1991,36.560001
18-11-1991,36.810001
19-11-1991,36.810001
20-11-1991,36.18
21-11-1991,36.330002
22-11-1991,35.970001
25-11-1991,35.900002
26-11-1991,36.150002
27-11-1991,36.02
29-11-1991,35.900002
02-12-1991,36.5
03-12-1991,36.459999
04-12-1991,36.380001
